"X","State","Agency_Type","Agency_Name","Population","Region","codes","Total_Offenses","Crimes_Against_Persons","Crimes_Against_Property","Crimes_Against_Society","Crimes_Against_Persons.1","Aggravated_Assault","Simple_Assault","Intimidation","Homicide_Offenses","Murder_and_Nonnegligent_Manslaughter","Negligent_Manslaughter","Justifiable_Homicide","Human_Trafficking_Offenses","Commercial_Sex_Acts","Involuntary_Servitude","Kidnapping__Abduction","Sex_Offenses","Rape","Sodomy","Sexual_Assault_With_An_Object","Fondling","Sex_Offenses._Nonforcible","Incest","Statutory_Rape","Arson","Bribery","Burglary__Breaking_._Entering","Counterfeiting__Forgery","Destruction__Damage__Vandalism_of_Property","Embezzlement","Extortion__Blackmail","Fraud_Offenses","False_Pretenses__Swindle__Confidence_Game","Credit_Card__Automated_Teller_Machine_Fraud","Impersonation","Welfare_Fraud","Wire_Fraud","Larceny__Theft_Offenses","Pocketpicking","Pursesnatching","Shoplifting","Theft_From_Building","Theft_From_Coin_Operated_Machine_or_Device","Theft_From_Motor_Vehicle","Theft_of__Motor__Vehicle_Parts_or_Accessories","All_Other_Larceny","Motor_Vehicle_Theft","Robbery","Stolen_Property_Offenses","Drug__Narcotic_Offenses","Drug__Narcotic_Violations","Drug_Equipment_Violations","Gambling_Offenses","Betting__Wagering","Operating__Promoting__Assisting_Gambling","Gambling_Equipment_Violations","Sports_Tampering","Pornography__Obscene_Material","Prostitution_Offenses","Prostitution","Assisting_or_Promoting_Prostitution","Purchasing_Prostitution","Weapon_Law_Violations"
593,"Idaho","Cities","Payette",7442,"West Mountain","ID",0.069470572426767,0.014243482934695,0.0436710561676969,0.0115560333243752,0.0127653856490191,0.00188121472722386,0.0106154259607632,0.000268744961031981,0,0,0,0,0,0,0,0.00013437248051599,0.00107497984412792,0.000671862402579952,0.00013437248051599,0,0.000268744961031981,0.000268744961031981,0,0.000268744961031981,0,0,0.00940607363611932,0.000671862402579952,0.00779360386992744,0,0,0.00188121472722386,0.000671862402579952,0.000537489922063961,0.000671862402579952,0,0,0.0225745767266864,0,0,0.00147809728567589,0.00577801666218758,0,0.00443429185702768,0.00013437248051599,0.0107497984412792,0.000806234883095942,0,0.000537489922063961,0.0110185434023112,0.00618113410373556,0.00483740929857565,0,0,0,0,0,0,0,0,0,0,0.000537489922063961
594,"Idaho","Cities","Pinehurst",1616,"West Mountain","ID",0.0334158415841584,0.00618811881188119,0.0185643564356436,0.00866336633663366,0.00495049504950495,0.000618811881188119,0.00309405940594059,0.00123762376237624,0,0,0,0,0,0,0,0,0.00123762376237624,0.000618811881188119,0,0,0.000618811881188119,0,0,0,0,0,0.00866336633663366,0,0.00185643564356436,0,0,0.00185643564356436,0.00185643564356436,0,0,0,0,0.00433168316831683,0,0,0.000618811881188119,0,0,0,0,0.00371287128712871,0.000618811881188119,0,0.00123762376237624,0.00866336633663366,0.00371287128712871,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0
595,"Idaho","Cities","Pocatello",54935,"West Mountain","ID",0.0715754983161919,0.0153818148721216,0.0464002912532994,0.00979339219077091,0.0144898516428506,0.00267588968781287,0.0110858287066533,0.000728133248384454,0,0,0,0,0,0,0,0.00012742331846728,0.000655319923546009,0.000327659961773004,3.64066624192227e-05,1.82033312096114e-05,0.00027304996814417,0.000109219987257668,0,0.000109219987257668,0.00012742331846728,0,0.00491489942659507,0.0012742331846728,0.00879220897424229,0.000309456630563393,0,0.00289432966232821,0.000728133248384454,0.00103758987894785,0.000982979885319013,1.82033312096114e-05,0.00012742331846728,0.025994356967325,1.82033312096114e-05,3.64066624192227e-05,0.0048056794393374,0.00444161281514517,5.46099936288341e-05,0.00591608264312369,0.00101938654773824,0.00970237553472285,0.00152907982160735,0.000491489942659507,7.28133248384454e-05,0.00879220897424229,0.00476927277691818,0.00402293619732411,0,0,0,0,0,5.46099936288341e-05,5.46099936288341e-05,3.64066624192227e-05,1.82033312096114e-05,0,0.000891963229270957
596,"Idaho","Cities","Ponderay",1110,"West Mountain","ID",0.136036036036036,0.0225225225225225,0.090990990990991,0.0225225225225225,0.0225225225225225,0.000900900900900901,0.0198198198198198,0.0018018018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00810810810810811,0.0018018018018018,0.0108108108108108,0,0,0.00720720720720721,0.00540540540540541,0.0018018018018018,0,0,0,0.0603603603603604,0,0,0.0135135135135135,0,0,0,0,0.0468468468468468,0.0027027027027027,0,0,0.0207207207207207,0.0126126126126126,0.00810810810810811,0,0,0,0,0,0,0,0,0,0,0.0018018018018018
597,"Idaho","Cities","Post Falls",28959,"West Mountain","ID",0.0649884319209917,0.0123277737490935,0.040436479160192,0.0122241790117062,0.0113954211126075,0.00193376843123036,0.0091508684692151,0.000310784212162022,3.45315791291136e-05,3.45315791291136e-05,0,0,0,0,0,0.000103594737387341,0.000690631582582272,0.000276252633032909,3.45315791291136e-05,0,0.000379847370420249,0.000103594737387341,0,0.000103594737387341,3.45315791291136e-05,0,0.0033150315963949,0.000345315791291136,0.00811492109534169,3.45315791291136e-05,0,0.0027970579094582,0.00048344210780759,0.00193376843123036,0.000138126316516454,0,0.000241721053903795,0.022790842225215,0,0.000207189474774681,0.00756241582927587,0.000103594737387341,3.45315791291136e-05,0.00348768949204047,0.00113954211126075,0.0102558790013467,0.00186470527297213,0.000172657895645568,0.00096688421561518,0.011568079008253,0.00521426844849615,0.0063538105597569,0,0,0,0,0,6.90631582582271e-05,3.45315791291136e-05,3.45315791291136e-05,0,0,0.000552505266065817
598,"Idaho","Cities","Preston",5128,"West Mountain","ID",0.0220358814352574,0.00565522620904836,0.0140405616224649,0.00234009360374415,0.00487519500780031,0.00078003120124805,0.00370514820592824,0.000390015600624025,0,0,0,0,0,0,0,0,0.000585023400936037,0,0.000195007800312012,0,0.000390015600624025,0.000195007800312012,0,0.000195007800312012,0,0,0.00214508580343214,0.000195007800312012,0.00331513260530421,0,0,0.000975039001560062,0.000195007800312012,0.000585023400936037,0.000195007800312012,0,0,0.00702028081123245,0,0.000585023400936037,0.00117004680187207,0.000390015600624025,0.000195007800312012,0.000195007800312012,0.000390015600624025,0.00409516380655226,0.000390015600624025,0,0,0.00214508580343214,0.00136505460218409,0.00078003120124805,0,0,0,0,0,0,0,0,0,0,0.000195007800312012
599,"Idaho","Cities","Priest River",1706,"West Mountain","ID",0.0504103165298945,0.0128956623681125,0.0357561547479484,0.00175849941383353,0.0123094958968347,0.000586166471277843,0.011137162954279,0.000586166471277843,0,0,0,0,0,0,0,0,0.000586166471277843,0,0,0,0.000586166471277843,0,0,0,0,0,0.0082063305978898,0,0.0123094958968347,0,0,0.000586166471277843,0,0.000586166471277843,0,0,0,0.0123094958968347,0,0,0.00234466588511137,0,0,0,0,0.00996483001172333,0.00234466588511137,0,0,0.00117233294255569,0.00117233294255569,0,0,0,0,0,0,0,0,0,0,0,0.000586166471277843
600,"Idaho","Cities","Rathdrum",7078,"West Mountain","ID",0.0508618253743995,0.0087595365922577,0.0300932466798531,0.0120090421022888,0.00777055665442215,0.00113026278609777,0.00635772817179994,0.000282565696524442,0,0,0,0,0,0,0,0.000141282848262221,0.000847697089573326,0.000141282848262221,0,0,0.000706414241311105,0,0,0,0,0,0.00791183950268437,0.000141282848262221,0.00692285956484883,0,0,0.000706414241311105,0,0.000565131393048884,0,0.000141282848262221,0,0.0127154563435999,0,0.000282565696524442,0.00324950551003108,0.000565131393048884,0,0.00113026278609777,0.000423848544786663,0.00706414241311105,0.00127154563435999,0,0.000423848544786663,0.0111613450127155,0.00551003108222662,0.00565131393048884,0,0,0,0,0,0,0,0,0,0,0.000847697089573326
601,"Idaho","Cities","Rexburg",26298,"West Mountain","ID",0.016807361776561,0.00117879686668188,0.0113316602022968,0.00429690470758233,0.000988668339797703,0.000266179937637843,0.000684462696783025,3.80257053768347e-05,0,0,0,0,0,0,0,0,0.000190128526884174,0,0,0,0.000190128526884174,0,0,0,0,0,0.00110274545592821,7.60514107536695e-05,0.0027378507871321,0.000152102821507339,3.80257053768347e-05,0.00079853981291353,0.000456308464522017,0.000190128526884174,3.80257053768347e-05,0,0.000114077116130504,0.00608411286029356,0,0,0.000494334169898852,0.00239561943874059,3.80257053768347e-05,0.000646436991406191,7.60514107536695e-05,0.00243364514411742,0.000228154232261008,0,0.000114077116130504,0.00391664765381398,0.00228154232261008,0.00163510533120389,0,0,0,0,0,0,0,0,0,0,0.000380257053768347
602,"Idaho","Cities","Rigby",4031,"West Mountain","ID",0.041925080625155,0.0116596378069958,0.0262962044157777,0.00396923840238154,0.0116596378069958,0.00124038700074423,0.00545770280327462,0.00496154800297693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471347060282808,0.000248077400148846,0.00421731580253039,0.000248077400148846,0,0.00347308360208385,0.00347308360208385,0,0,0,0,0.0126519474075912,0,0,0.00124038700074423,0,0.000248077400148846,0.00173654180104193,0,0.00942694120565617,0.000744232200446539,0,0,0.00297692880178616,0.00148846440089308,0.00148846440089308,0,0,0,0,0,0,0,0,0,0,0.000992309600595386
603,"Idaho","Cities","Rupert",5500,"West Mountain","ID",0.0496363636363636,0.00781818181818182,0.0345454545454545,0.00727272727272727,0.00654545454545455,0.00181818181818182,0.00454545454545455,0.000181818181818182,0,0,0,0,0,0,0,0,0.00109090909090909,0,0,0,0.00109090909090909,0.000181818181818182,0,0.000181818181818182,0.000181818181818182,0,0.00545454545454545,0.000545454545454545,0.00709090909090909,0,0,0.00145454545454545,0.00127272727272727,0,0,0,0.000181818181818182,0.0189090909090909,0,0,0.00145454545454545,0.000363636363636364,0,0.00490909090909091,0,0.0121818181818182,0.000545454545454545,0.000181818181818182,0.000181818181818182,0.00690909090909091,0.00418181818181818,0.00272727272727273,0,0,0,0,0,0.000181818181818182,0,0,0,0,0.000181818181818182
604,"Idaho","Cities","Salmon",3020,"West Mountain","ID",0.0344370860927152,0.00927152317880795,0.0198675496688742,0.00529801324503311,0.00860927152317881,0.00231788079470199,0.00496688741721854,0.00132450331125828,0,0,0,0,0,0,0,0,0.000662251655629139,0,0.00033112582781457,0,0.00033112582781457,0,0,0,0,0,0.00364238410596027,0.00033112582781457,0.00463576158940397,0,0,0.00165562913907285,0.00033112582781457,0.000993377483443709,0.00033112582781457,0,0,0.00827814569536424,0.000662251655629139,0,0.00132450331125828,0.00397350993377483,0,0.00198675496688742,0,0.00033112582781457,0.00132450331125828,0,0,0.00529801324503311,0.0043046357615894,0.000993377483443709,0,0,0,0,0,0,0,0,0,0,0
605,"Idaho","Cities","Sandpoint",7412,"West Mountain","ID",0.0999730167296276,0.0211818672423098,0.0596330275229358,0.0191581219643821,0.0187533729087965,0.00256341068537507,0.0161899622234215,0,0,0,0,0,0,0,0,0,0.00242849433351322,0,0,0,0.00242849433351322,0,0,0,0,0,0.00876956287101997,0.000134916351861846,0.00822989746357258,0.000134916351861846,0,0.00553157042633567,0.00553157042633567,0,0,0,0,0.0358877495952509,0,0,0.00674581759309228,0,0,0.0062061521856449,0.000809498111171074,0.0221262817053427,0.000674581759309228,0,0.000269832703723691,0.018348623853211,0.00998381003777658,0.00836481381543443,0,0,0,0,0,0,0,0,0,0,0.000809498111171074
606,"Idaho","Cities","Shelley",4408,"West Mountain","ID",0.0297186932849365,0.00612522686025408,0.0151996370235935,0.00839382940108893,0.00521778584392015,0.000226860254083485,0.00476406533575318,0.000226860254083485,0,0,0,0,0,0,0,0.000226860254083485,0.000680580762250454,0,0,0,0.000680580762250454,0,0,0,0,0,0.00249546279491833,0,0.00340290381125227,0,0,0.00136116152450091,0.00136116152450091,0,0,0,0,0.00771324863883848,0,0,0.000453720508166969,0,0,0.00204174228675136,0,0.00521778584392015,0,0,0.000226860254083485,0.00816696914700544,0.00408348457350272,0.00408348457350272,0,0,0,0,0,0,0,0,0,0,0.000226860254083485
607,"Idaho","Cities","Shoshone",1488,"West Mountain","ID",0.0295698924731183,0.0134408602150538,0.0100806451612903,0.00604838709677419,0.0120967741935484,0.00806451612903226,0,0.00403225806451613,0,0,0,0,0,0,0,0.000672043010752688,0.000672043010752688,0.000672043010752688,0,0,0,0,0,0,0,0,0.00134408602150538,0.000672043010752688,0.00201612903225806,0,0.00201612903225806,0.00201612903225806,0.00201612903225806,0,0,0,0,0.00134408602150538,0.00134408602150538,0,0,0,0,0,0,0,0,0,0.000672043010752688,0.00537634408602151,0.00134408602150538,0.00403225806451613,0,0,0,0,0,0,0,0,0,0,0.000672043010752688
608,"Idaho","Cities","Soda Springs",2946,"West Mountain","ID",0.03326544467074,0.0125594025797692,0.0125594025797692,0.00814663951120163,0.011541072640869,0.00441276306856755,0.00712830957230143,0,0,0,0,0,0,0,0,0.000339443312966735,0.000339443312966735,0,0,0,0.000339443312966735,0.000339443312966735,0,0.000339443312966735,0,0,0.00305498981670061,0.000339443312966735,0.00169721656483367,0,0,0,0,0,0,0,0,0.00712830957230143,0,0,0.00135777325186694,0.000678886625933469,0,0.00135777325186694,0,0.00373387644263408,0,0.000339443312966735,0,0.00678886625933469,0.00407331975560081,0.00271554650373388,0,0,0,0,0,0,0,0,0,0,0.00135777325186694
609,"Idaho","Cities","Spirit Lake",2016,"West Mountain","ID",0.0431547619047619,0.0128968253968254,0.0183531746031746,0.0119047619047619,0.00892857142857143,0.00198412698412698,0.00694444444444444,0,0,0,0,0,0,0,0,0,0.00347222222222222,0.000992063492063492,0,0,0.00248015873015873,0.000496031746031746,0.000496031746031746,0,0,0,0.00297619047619048,0.000496031746031746,0.00496031746031746,0,0,0.000992063492063492,0.000496031746031746,0.000496031746031746,0,0,0,0.00843253968253968,0,0,0.00148809523809524,0.00148809523809524,0,0.00148809523809524,0,0.00396825396825397,0.000496031746031746,0,0,0.0109126984126984,0.00595238095238095,0.00496031746031746,0,0,0,0,0,0,0,0,0,0,0.000992063492063492
610,"Idaho","Cities","St. Anthony",3446,"West Mountain","ID",0.0281485780615206,0.00667440510737086,0.0139291932675566,0.00754497968659315,0.00667440510737086,0.00116076610562972,0.00551363900174115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145095763203714,0,0.00609402205455601,0,0,0.000290191526407429,0,0,0,0,0.000290191526407429,0.00609402205455601,0,0,0.000580383052814858,0.000580383052814858,0,0,0,0.00493325594892629,0,0,0,0.00754497968659315,0.00522344747533372,0.00232153221125943,0,0,0,0,0,0,0,0,0,0,0
611,"Idaho","Cities","St. Maries",2335,"West Mountain","ID",0.0569593147751606,0.0137044967880086,0.0214132762312634,0.0218415417558886,0.0132762312633833,0.00342612419700214,0.00856531049250535,0.0012847965738758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428265524625268,0,0.000428265524625268,0,0,0.00428265524625268,0.000428265524625268,0.00256959314775161,0,0,0.00428265524625268,0.00214132762312634,0.0012847965738758,0.000856531049250535,0,0,0.00770877944325482,0,0,0.0012847965738758,0.00342612419700214,0,0.0012847965738758,0,0.00171306209850107,0.00171306209850107,0.000428265524625268,0,0.0205567451820128,0.0119914346895075,0.00856531049250535,0,0,0,0,0,0,0,0,0,0,0.0012847965738758
