,State,Agency_Type,Agency_Name,Population,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_An_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,LarcenyTheft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coinoperated_Machine,Theft_From_Motor_Vehicle,Theft_of_Motor_Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses_,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Weapon_Law_Violations,Region
25,Arkansas,Cities,Caddo Valley,632.0,116.0,19.0,67.0,30.0,19,5.0,11.0,3.0,,,,,,,,,,,,,,,,15.0,1.0,7.0,,,1.0,,1.0,,,,40.0,,,2.0,5.0,,1.0,,32.0,,1.0,2.0,26.0,24.0,2.0,,,,,,,,,,4.0,South Central (West)
26,Arkansas,Cities,Camden,12118.0,1219.0,341.0,843.0,35.0,334,60.0,171.0,103.0,1.0,1.0,,,,5.0,,1.0,2.0,2.0,1.0,,1.0,1.0,,178.0,68.0,160.0,,,14.0,7.0,7.0,,,,405.0,9.0,,84.0,17.0,,59.0,14.0,222.0,7.0,9.0,1.0,29.0,27.0,2.0,,,,,,,,,,6.0,South Central (West)
27,Arkansas,Cities,Cammack Village,779.0,84.0,22.0,58.0,4.0,21,,11.0,10.0,,,,,,1.0,,,,1.0,,,,,,24.0,2.0,4.0,,,1.0,,,1.0,,,26.0,,,,5.0,,15.0,1.0,5.0,,,1.0,3.0,2.0,1.0,,,,,,,,,,1.0,South Central (West)
28,Arkansas,Cities,Carlisle,2254.0,127.0,23.0,96.0,8.0,22,3.0,16.0,3.0,,,,,,1.0,1.0,,,,,,,,,24.0,7.0,5.0,,,2.0,1.0,1.0,,,,46.0,,,1.0,7.0,1.0,8.0,,29.0,1.0,2.0,9.0,6.0,4.0,2.0,,,,,,,,,,2.0,South Central (West)
29,Arkansas,Cities,Cave City,1923.0,71.0,16.0,53.0,2.0,16,4.0,8.0,4.0,,,,,,,,,,,,,,,,9.0,5.0,4.0,,,5.0,,4.0,1.0,,,29.0,,,,12.0,,5.0,,12.0,,,1.0,2.0,2.0,,,,,,,,,,,,South Central (West)
30,Arkansas,Cities,Cave Springs,1785.0,39.0,6.0,33.0,0.0,4,1.0,3.0,,,,,,,2.0,,,,2.0,,,,,,13.0,1.0,4.0,,,,,,,,,15.0,,,1.0,4.0,,,,10.0,,,,,,,,,,,,,,,,,South Central (West)
31,Arkansas,Cities,Charleston,2492.0,72.0,25.0,44.0,3.0,24,2.0,14.0,8.0,,,,,,1.0,1.0,,,,,,,,,9.0,1.0,6.0,,,5.0,,5.0,,,,22.0,,,,2.0,,,,20.0,,1.0,,2.0,2.0,,,,,,,,,,,1.0,South Central (West)
32,Arkansas,Cities,Cherokee Village,4735.0,279.0,32.0,219.0,28.0,30,3.0,27.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,46.0,,51.0,,,15.0,11.0,3.0,1.0,,,99.0,,,1.0,,,1.0,,97.0,4.0,,3.0,26.0,16.0,10.0,,,,,,1.0,,,,1.0,South Central (West)
33,Arkansas,Cities,Clarendon,1655.0,79.0,23.0,52.0,4.0,22,1.0,20.0,1.0,1.0,1.0,,,,,,,,,,,,,,7.0,,15.0,,,,,,,,,25.0,,,3.0,1.0,,3.0,,18.0,3.0,1.0,1.0,4.0,3.0,1.0,,,,,,,,,,,South Central (West)
34,Arkansas,Cities,Clarksville,9286.0,1099.0,220.0,822.0,57.0,215,13.0,151.0,51.0,,,,,,5.0,3.0,1.0,,1.0,,,,,,122.0,46.0,104.0,,,70.0,1.0,54.0,15.0,,,464.0,2.0,4.0,60.0,126.0,4.0,70.0,6.0,192.0,3.0,,13.0,49.0,38.0,11.0,,,,,,2.0,,,,6.0,South Central (West)
35,Arkansas,Cities,Clinton,2580.0,88.0,9.0,77.0,2.0,9,,3.0,6.0,,,,,,,,,,,,,,,,16.0,6.0,2.0,,,9.0,,9.0,,,,41.0,,,3.0,16.0,,8.0,1.0,13.0,3.0,,,2.0,2.0,,,,,,,,,,,,South Central (West)
36,Arkansas,Cities,Conway,60700.0,6566.0,1755.0,4022.0,789.0,1704,148.0,764.0,792.0,1.0,1.0,,,12.0,36.0,32.0,,1.0,3.0,2.0,,2.0,9.0,,417.0,160.0,793.0,,,310.0,124.0,181.0,5.0,,,2097.0,,,498.0,10.0,4.0,412.0,77.0,1096.0,105.0,79.0,52.0,733.0,569.0,164.0,,,,,,5.0,1.0,1.0,,50.0,South Central (West)
