"X","State","Agency_Type","Agency_Name","Population","Region","codes","Total_Offenses","Crimes_Against_Persons","Crimes_Against_Property","Crimes_Against_Society","Crimes_Against_Persons.1","Aggravated_Assault","Simple_Assault","Intimidation","Homicide_Offenses","Murder_and_Nonnegligent_Manslaughter","Negligent_Manslaughter","Justifiable_Homicide","Kidnapping__Abduction","Sex_Offenses","Rape","Sodomy","Sexual_Assault_With_An_Object","Fondling","Sex_Offenses._Nonforcible","Incest","Statutory_Rape","Arson","Bribery","Burglary__Breaking_._Entering","Counterfeiting__Forgery","Destruction__Damage__Vandalism","Embezzlement","Extortion__Blackmail","Fraud_Offenses","False_Pretenses__Swindle__Confidence_Game","Credit_Card__Automated_Teller_Machine_Fraud","Impersonation","Welfare_Fraud","Wire_Fraud","LarcenyTheft_Offenses","Pocketpicking","Pursesnatching","Shoplifting","Theft_From_Building","Theft_From_Coinoperated_Machine","Theft_From_Motor_Vehicle","Theft_of_Motor_Vehicle_Parts_or_Accessories","All_Other_Larceny","Motor_Vehicle_Theft","Robbery","Stolen_Property_Offenses_","Drug__Narcotic_Offenses","Drug__Narcotic_Violations","Drug_Equipment_Violations","Gambling_Offenses","Betting__Wagering","Operating__Promoting__Assisting_Gambling","Gambling_Equipment_Violations","Sports_Tampering","Pornography__Obscene_Material","Prostitution_Offenses","Prostitution","Assisting_or_Promoting_Prostitution","Weapon_Law_Violations"
4223,"Utah","Cities","Moab",5170,"West Mountain","UT",0.113926499032882,0.025531914893617,0.060541586073501,0.027852998065764,0.0234042553191489,0.00193423597678917,0.0212765957446809,0.000193423597678917,NA,NA,NA,NA,0.000386847195357834,0.00135396518375242,0.000386847195357834,0.000773694390715667,NA,0.000193423597678917,0.000386847195357834,NA,0.000386847195357834,0.000193423597678917,NA,0.00483558994197292,0.00058027079303675,0.0145067698259188,NA,NA,0.00406189555125725,0.00135396518375242,0.00212765957446809,0.00058027079303675,NA,NA,0.0330754352030948,NA,NA,0.00367504835589942,NA,NA,0.00425531914893617,NA,0.0251450676982592,0.00290135396518375,NA,0.000386847195357834,0.0276595744680851,0.0174081237911025,0.0102514506769826,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000193423597678917
4224,"Utah","Cities","Naples",1811,"West Mountain","UT",0.0745444505797902,0.0121479845389288,0.04527885146328,0.0171176145775814,0.00883489784649365,NA,0.00773053561568194,0.00110436223081171,NA,NA,NA,NA,NA,0.00331308669243512,0.000552181115405853,NA,NA,0.00276090557702927,NA,NA,NA,NA,NA,0.00441744892324683,0.00110436223081171,0.0093870789618995,NA,NA,0.00386526780784097,0.00386526780784097,NA,NA,NA,NA,0.0237437879624517,NA,NA,NA,0.000552181115405853,NA,0.00276090557702927,0.00276090557702927,0.0176697956929873,0.00276090557702927,NA,NA,0.0160132523467697,0.00773053561568194,0.0082827167310878,NA,NA,NA,NA,NA,0.000552181115405853,NA,NA,NA,0.000552181115405853
4225,"Utah","Cities","North Ogden",17838,"West Mountain","UT",0.0349815001681803,0.00526964906379639,0.0271891467653324,0.00252270433905146,0.00319542549613185,0.000112120192846732,0.00207422356766454,0.00100908173562059,NA,NA,NA,NA,0.000728781253503756,0.00134544231416078,0.000224240385693463,5.60600964233658e-05,0.000168180289270098,0.000896961542773854,NA,NA,NA,0.000112120192846732,NA,0.00358784617109541,0.000112120192846732,0.00846507455992824,NA,NA,0.00201816347124117,0.000728781253503756,0.000504540867810293,0.000392420674963561,NA,0.000392420674963561,0.0119968606346003,NA,NA,0.00123332212131405,0.000560600964233658,0.000112120192846732,0.00465298800313937,0.000616661060657024,0.00482116829240946,0.000560600964233658,5.60600964233658e-05,0.000280300482116829,0.0021302836640879,0.00168180289270098,0.000448480771386927,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000392420674963561
4226,"Utah","Cities","North Salt Lake",16831,"West Mountain","UT",0.0633949260293506,0.00968451072425881,0.0447388746955023,0.00897154060958945,0.00837739884736498,0.000653555938446913,0.00766442873269562,5.94141762224467e-05,NA,NA,NA,NA,0.000237656704889787,0.00106945517200404,0.000594141762224467,0.00035648505733468,NA,0.000118828352444893,NA,NA,NA,5.94141762224467e-05,NA,0.00344602222090191,0.000772384290891807,0.0113481076584873,NA,NA,0.00344602222090191,0.00196066781534074,0.000237656704889787,0.00124769770067138,NA,NA,0.0227556294931971,NA,NA,0.00101004099578159,NA,NA,0.00510961915513041,NA,0.0166359693422851,0.00207949616778563,0.000237656704889787,0.000594141762224467,0.00837739884736498,0.00439664904046105,0.00398074980690393,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000594141762224467
4227,"Utah","Cities","Ogden",85083,"West Mountain","UT",0.145551990409365,0.0370579316667254,0.0851638987811901,0.0233301599614494,0.0333556644688128,0.00277376209113454,0.0241881456930292,0.00639375668464911,2.35064583994452e-05,2.35064583994452e-05,NA,NA,0.00117532291997226,0.00242116521514286,0.000293830729993066,0.000340843646791956,0.000305583959192788,0.00148090687916505,8.22726043980584e-05,NA,8.22726043980584e-05,0.000152791979596394,1.17532291997226e-05,0.00853284439899863,0.00256220396553953,0.0261039220525839,2.35064583994452e-05,NA,0.00371402042711235,0.00156317948356311,0.00172772469235923,0.000176298437995839,NA,0.000246817813194175,0.0396789017782636,4.70129167988905e-05,0.000188051667195562,0.00894420742098892,0.00640550991384883,0.000164545208796117,0.00842706533620112,0.00125759552437032,0.0142449137900638,0.00257395719473925,0.00112831000317337,0.000681687293583912,0.0209207479755063,0.0115769307617268,0.00934381721377949,NA,NA,NA,NA,NA,1.17532291997226e-05,0.000164545208796117,0.000152791979596394,1.17532291997226e-05,0.0022331135479473
4228,"Utah","Cities","Perry",4600,"West Mountain","UT",0.0502173913043478,0.00847826086956522,0.0345652173913043,0.00717391304347826,0.00608695652173913,0.00130434782608696,0.00369565217391304,0.00108695652173913,NA,NA,NA,NA,NA,0.00239130434782609,0.00108695652173913,0.00130434782608696,NA,NA,NA,NA,NA,0.000652173913043478,NA,0.00521739130434783,0.00130434782608696,0.00673913043478261,0.000217391304347826,NA,0.00282608695652174,0.00152173913043478,0.000434782608695652,0.000869565217391304,NA,NA,0.0167391304347826,NA,NA,0.00717391304347826,NA,NA,0.00195652173913043,NA,0.00760869565217391,0.000217391304347826,0.000217391304347826,0.000434782608695652,0.00630434782608696,0.00260869565217391,0.00369565217391304,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000869565217391304
4229,"Utah","Cities","Pleasant Grove",34900,"West Mountain","UT",0.0347851002865329,0.00455587392550143,0.0227793696275072,0.00744985673352436,0.00332378223495702,0.000200573065902579,0.00275071633237822,0.000372492836676218,NA,NA,NA,NA,8.59598853868195e-05,0.00111747851002865,2.86532951289398e-05,2.86532951289398e-05,NA,0.00106017191977077,2.86532951289398e-05,NA,2.86532951289398e-05,2.86532951289398e-05,NA,0.00186246418338109,0.000429799426934097,0.00518624641833811,NA,NA,0.00200573065902579,0.000916905444126075,0.000859598853868195,0.000229226361031519,NA,NA,0.012378223495702,NA,2.86532951289398e-05,0.00272206303724928,0.000744985673352436,NA,0.00226361031518625,0.000830945558739255,0.00578796561604585,0.000487106017191977,5.73065902578797e-05,0.000343839541547278,0.00702005730659026,0.00306590257879656,0.0039541547277937,NA,NA,NA,NA,NA,NA,2.86532951289398e-05,2.86532951289398e-05,NA,0.000401146131805158
4230,"Utah","Cities","Price",8799,"West Mountain","UT",0.0869416979202182,0.0139788612342312,0.05921127400841,0.013751562677577,0.0121604727809978,0.00204568700988749,0.00988748721445619,0.000227298556654165,0.000113649278327083,0.000113649278327083,NA,NA,NA,0.000909194226616661,0.00045459711330833,0.000113649278327083,0.000113649278327083,0.000227298556654165,0.000795544948289578,NA,0.000795544948289578,0.000340947834981248,NA,0.00795544948289578,0.00136379133992499,0.00602341175133538,0.000227298556654165,NA,0.00363677690646664,0.00125014206159791,0.00204568700988749,0.000340947834981248,NA,NA,0.0380725082395727,NA,0.000227298556654165,0.00931924082282077,0.00613706102966246,NA,0.00534151608137288,0.00045459711330833,0.0165927946357541,0.00113649278327083,NA,0.00045459711330833,0.0128423684509603,0.00693260597795204,0.0059097624730083,NA,NA,NA,NA,NA,0.000227298556654165,NA,NA,NA,0.000681895669962496
4231,"Utah","Cities","Provo",116879,"West Mountain","UT",0.0510356864791793,0.00936010746156281,0.0341464249351894,0.00752915408242713,0.00746926308404418,0.000804250549713807,0.00552708356505446,0.00113792896927592,NA,NA,NA,NA,0.000376457704121356,0.00141171639045509,0.000325122562650262,0.000111226139854037,1.7111713823698e-05,0.000958255974127089,0.000102670282942188,NA,0.000102670282942188,4.2779284559245e-05,NA,0.00249831021825991,0.000282343278091017,0.00896653804361776,2.5667570735547e-05,2.5667570735547e-05,0.00183095337913569,0.00115504068309962,0.000487683843975393,0.000154005424413282,NA,3.4223427647396e-05,0.0186261004970953,1.7111713823698e-05,2.5667570735547e-05,0.00388435903797945,0.00411536717459937,4.2779284559245e-05,0.00359345990297658,0.000547574842358336,0.00639978097006306,0.000966811831038938,0.000162561281325131,0.000718691980595317,0.00662223324977113,0.00313144362973674,0.00349078962003439,NA,NA,NA,NA,NA,1.7111713823698e-05,2.5667570735547e-05,2.5667570735547e-05,NA,0.00086414154809675
4232,"Utah","Cities","Riverdale",8658,"West Mountain","UT",0.136752136752137,0.0187110187110187,0.0807345807345807,0.0373065373065373,0.0157080157080157,0.000808500808500808,0.0110880110880111,0.00381150381150381,NA,NA,NA,NA,0.000346500346500347,0.00254100254100254,0.000462000462000462,0.000346500346500347,NA,0.00173250173250173,0.000115500115500115,NA,0.000115500115500115,NA,NA,0.00565950565950566,0.00323400323400323,0.015015015015015,0.000115500115500115,NA,0.00796950796950797,0.000231000231000231,0.00565950565950566,0.00127050127050127,NA,0.000808500808500808,0.0457380457380457,NA,0.00138600138600139,0.0287595287595288,0.00577500577500578,NA,0.00646800646800647,0.000115500115500115,0.00323400323400323,0.00207900207900208,0.000346500346500347,0.000577500577500578,0.0358050358050358,0.0146685146685147,0.0211365211365211,NA,NA,NA,NA,NA,0.000346500346500347,0.000231000231000231,0.000231000231000231,NA,0.000924000924000924
4233,"Utah","Cities","Roosevelt",6189,"West Mountain","UT",0.132977863952173,0.0418484407820326,0.065115527548877,0.0260138956212635,0.0342543221845209,0.000969461948618517,0.0329617062530296,0.000323153982872839,NA,NA,NA,NA,0.000807884957182097,0.00630150266602036,0.000646307965745678,0.00355469381160123,NA,0.00210050088867345,0.000484730974309258,NA,0.000484730974309258,0.000161576991436419,NA,0.00549361770883826,0.000807884957182097,0.0172887380836969,NA,NA,0.0066246566488932,0.00323153982872839,0.00306996283729197,0.000323153982872839,NA,NA,0.0326385522701567,NA,NA,0.00371627080303765,NA,NA,0.00339311682016481,NA,0.0255291646469543,0.00161576991436419,NA,0.000484730974309258,0.0255291646469543,0.0142187752464049,0.0113103894005494,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000484730974309258
4234,"Utah","Cities","Roy",37900,"West Mountain","UT",0.0496569920844327,0.012401055408971,0.0342744063324538,0.00298153034300792,0.0096042216358839,0.00029023746701847,0.00770448548812665,0.00160949868073879,2.63852242744063e-05,2.63852242744063e-05,NA,NA,0.00108179419525066,0.00160949868073879,0.000659630606860158,0.000131926121372032,0.000131926121372032,0.000686015831134565,7.9155672823219e-05,NA,7.9155672823219e-05,0.000105540897097625,NA,0.00298153034300792,0.000554089709762533,0.0100527704485488,NA,5.27704485488127e-05,0.00213720316622691,0.000474934036939314,0.00108179419525066,0.000474934036939314,NA,0.000105540897097625,0.0173087071240106,NA,5.27704485488127e-05,0.00197889182058048,0.00511873350923483,0.000105540897097625,0.00482849604221636,0.000237467018469657,0.0049868073878628,0.000686015831134565,0.000184696569920844,0.000211081794195251,0.00226912928759894,0.0012401055408971,0.00102902374670185,NA,NA,NA,NA,NA,5.27704485488127e-05,NA,NA,NA,0.000659630606860158
4235,"Utah","Cities","Salt Lake City",192465,"West Mountain","UT",0.153950068843686,0.0313511547554101,0.104496921518198,0.0181019925700777,0.0288104330657522,0.00445795339412361,0.0197750240303432,0.00457745564128543,4.15659990128075e-05,4.15659990128075e-05,NA,NA,0.000535162237289897,0.00186527420569974,0.000639077234821916,0.000124697997038423,0.00038448549086847,0.00071701348297093,9.87192476554179e-05,5.19574987660094e-06,9.35234977788169e-05,0.000202634245187437,NA,0.00946146052529031,0.00153274621359728,0.0192762320421895,3.11744992596056e-05,8.3131998025615e-05,0.00493596238277089,0.000852102979762554,0.00237965344348323,0.00161068246174629,2.07829995064038e-05,7.27404982724132e-05,0.0572727508897722,0.000171459745927831,0.000503987738030291,0.0141324396643546,0.00674408333982802,8.8327747902216e-05,0.020076377523186,0.00263944093731328,0.0129166341932299,0.00893149403787702,0.0016418569610059,0.0011274777232224,0.0161276076169693,0.00787156106305043,0.00825604655391889,1.55872496298028e-05,NA,1.55872496298028e-05,NA,NA,2.59787493830047e-05,0.000202634245187437,0.000155872496298028,4.67617488894085e-05,0.00173018470890811
4236,"Utah","Cities","Sandy",90405,"West Mountain","UT",0.0737127371273713,0.0139594049001715,0.0468668768320336,0.0128864553951662,0.0131519274376417,0.000973397489076932,0.0108622310712903,0.00131629887727449,3.31840053094408e-05,2.21226702062939e-05,NA,1.1061335103147e-05,8.84906808251756e-05,0.000641557435982523,0.000265472042475527,3.31840053094408e-05,1.1061335103147e-05,0.000331840053094409,4.42453404125878e-05,2.21226702062939e-05,2.21226702062939e-05,3.31840053094408e-05,NA,0.00493335545600354,0.00163707759526575,0.0110502737680438,0.000243349372269233,NA,0.00286488579171506,0.000774293457220286,0.0014379735634091,0.000575189425363641,NA,7.74293457220286e-05,0.0232509263868149,NA,NA,0.00602842763121509,0.00076323212211714,0.000154858691444057,0.00681378242353852,0.00193573364305072,0.00755489187544937,0.0016260162601626,0.00039820806371329,0.000829600132736021,0.0118798739007798,0.00520988883358221,0.00666998506719761,NA,NA,NA,NA,NA,8.84906808251756e-05,7.74293457220286e-05,6.63680106188817e-05,1.1061335103147e-05,0.000840661467839168
4237,"Utah","Cities","Santa Clara-Ivins",13266,"West Mountain","UT",0.0187697874265038,0.00452284034373587,0.00987486808382331,0.00437207899894467,0.00391979496457108,0.000150761344791196,0.00293984622342831,0.000829187396351575,NA,NA,NA,NA,NA,0.000452284034373587,7.53806723955978e-05,7.53806723955978e-05,NA,0.000301522689582391,0.000150761344791196,NA,0.000150761344791196,NA,NA,0.00150761344791196,0.000226142017186793,0.00271370420624152,NA,NA,0.00158299412030755,0.00105532941353837,0.000527664706769184,NA,NA,NA,0.00376903361977989,NA,NA,0.000226142017186793,NA,NA,0.000753806723955978,NA,0.00278908487863712,NA,NA,7.53806723955978e-05,0.00407055630936228,0.00218603949947234,0.00188451680988994,NA,NA,NA,NA,NA,7.53806723955978e-05,NA,NA,NA,0.000226142017186793
4238,"Utah","Cities","Saratoga Springs",18546,"West Mountain","UT",0.030896150113232,0.0078183974981128,0.0166073546856465,0.00647039792947266,0.00668607786045508,0.000593119810201661,0.00539199827456055,0.000700959775692872,NA,NA,NA,NA,0.000161759948236817,0.000970559689420899,0.000107839965491211,0.000161759948236817,0.000107839965491211,0.000593119810201661,NA,NA,NA,NA,NA,0.00134799956864014,5.39199827456055e-05,0.0049067184298501,NA,NA,0.00124015960314893,0.00124015960314893,NA,NA,NA,NA,0.00862719723929688,5.39199827456055e-05,NA,0.0029655990510083,0.000161759948236817,NA,0.0010244796721665,NA,0.00442143858513965,0.000215679930982422,0.000215679930982422,NA,0.00593119810201661,0.00301951903375391,0.0029116790682627,NA,NA,NA,NA,NA,NA,5.39199827456055e-05,5.39199827456055e-05,NA,0.00048527984471045
4239,"Utah","Cities","South Jordan",52071,"West Mountain","UT",0.0414434138003879,0.00789306907875785,0.0301127306946285,0.00343761402700159,0.00724011445910392,0.000172840928731924,0.00551170517178468,0.00155556835858731,3.84090952737608e-05,NA,3.84090952737608e-05,NA,5.76136429106412e-05,0.00048011369092201,7.68181905475217e-05,1.92045476368804e-05,NA,0.000384090952737608,7.68181905475217e-05,NA,7.68181905475217e-05,NA,NA,0.00334159128881719,0.000768181905475217,0.00566534155287972,0.000211250024005685,NA,0.00336079583645407,0.00101784102475466,0.001766818382593,0.00048011369092201,NA,9.60227381844021e-05,0.0153636381095043,NA,0.000230454571642565,0.0028422730502583,0.000864204643659619,1.92045476368804e-05,0.00487795509976763,0.000499318238558891,0.00603022795798045,0.00111386376293906,0.000192045476368804,9.60227381844021e-05,0.00313034126481151,0.00170920473968236,0.00142113652512915,NA,NA,NA,NA,NA,1.92045476368804e-05,NA,NA,NA,0.000288068214553206
4240,"Utah","Cities","South Ogden",16986,"West Mountain","UT",0.0512775226657247,0.0113034263511127,0.031732014600259,0.008242081714353,0.00859531378782527,0.000353232073472271,0.00665253738372778,0.00158954433062522,NA,NA,NA,NA,0.00135405628164371,0.00135405628164371,0.000294360061226893,NA,0.000117744024490757,0.000941952195926057,NA,NA,NA,5.88720122453785e-05,NA,0.00559284116331096,0.00158954433062522,0.00700576945720005,0.000235488048981514,NA,0.00335570469798658,0.00041210408571765,0.00135405628164371,0.00100082420817144,NA,0.000588720122453785,0.0127163546450018,NA,NA,0.00306134463675968,0.00382668079594961,0.000235488048981514,0.00353232073472271,0.000647592134699164,0.00141292829388909,0.000706464146944543,0.000117744024490757,0.000353232073472271,0.00777110561638997,0.00400329683268574,0.00376780878370423,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000470976097963028
