,State,Agency_Type,Agency_Name,Population,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Human_Trafficking_Offenses,Commercial_Sex_Acts,Involuntary_Servitude,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_an_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism_of_Property,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,Larceny__Theft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coin_Operated_Machine_or_Device,Theft_From_Motor_Vehicle,Theft_of__Motor__Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Purchasing_Prostitution,Weapon_Law_Violations,Region
22,Arkansas,Cities,Booneville,3961.0,351.0,62.0,224.0,65.0,57,6.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,35.0,0.0,0.0,9.0,4.0,4.0,1.0,0.0,0.0,135.0,2.0,1.0,23.0,3.0,0.0,10.0,3.0,93.0,6.0,0.0,9.0,54.0,33.0,21.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,South Central (West)
23,Arkansas,Cities,Bradford,757.0,79.0,22.0,48.0,9.0,22,3.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3.0,9.0,0.0,5.0,0.0,6.0,2.0,0.0,2.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,South Central (West)
24,Arkansas,Cities,Brinkley,2964.0,149.0,35.0,111.0,3.0,31,8.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,53.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,South Central (West)
25,Arkansas,Cities,Brookland,2720.0,81.0,23.0,42.0,16.0,20,3.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,12.0,1.0,1.0,0.0,15.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,South Central (West)
26,Arkansas,Cities,Bull Shoals,1962.0,63.0,11.0,48.0,4.0,10,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,11.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,20.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Central (West)
27,Arkansas,Cities,Cabot,25819.0,1887.0,462.0,1236.0,189.0,427,33.0,228.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,10.0,10.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,141.0,67.0,230.0,0.0,0.0,106.0,3.0,55.0,48.0,0.0,0.0,601.0,0.0,3.0,151.0,92.0,2.0,107.0,9.0,237.0,44.0,2.0,44.0,161.0,95.0,66.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,21.0,South Central (West)
28,Arkansas,Cities,Caddo Valley,610.0,76.0,17.0,42.0,17.0,16,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0,22.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,17.0,0.0,0.0,1.0,15.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,South Central (West)
29,Arkansas,Cities,Camden,11552.0,1125.0,303.0,723.0,99.0,289,52.0,149.0,88.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,136.0,52.0,132.0,0.0,0.0,22.0,13.0,9.0,0.0,0.0,0.0,356.0,12.0,0.0,66.0,35.0,1.0,43.0,6.0,193.0,14.0,7.0,2.0,92.0,75.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,South Central (West)
30,Arkansas,Cities,Cammack Village,758.0,44.0,7.0,25.0,12.0,7,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,South Central (West)
31,Arkansas,Cities,Caraway,1265.0,16.0,4.0,10.0,2.0,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Central (West)
